BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE
SNDX;IMOEX;10.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3200,81;3224,63;3226,58;3195,24;69032353837;0;0;2;6,92E+12;RUB;2162703487;3;;10.03.2025
SNDX;IMOEX;11.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3200,95;3193,02;3215,06;3178,42;64260658117;0;0;2;6,92E+12;RUB;2162703487;3;;11.03.2025
SNDX;IMOEX;12.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3183,97;3185,44;3194,93;3160,01;60401903976;0;0;2;6,89E+12;RUB;2162703487;3;;12.03.2025
SNDX;IMOEX;13.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3121,57;3149,33;3160,37;3100,06;1,03E+11;0;0;2;6,75E+12;RUB;2162703487;3;;13.03.2025
SNDX;IMOEX;14.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3195,08;3158,4;3200,36;3135;78071920208;0;0;2;6,91E+12;RUB;2162703487;3;;14.03.2025
SNDX;IMOEX;17.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3245,19;3249,15;3257,33;3213,42;88624476636;0;0;2;7,02E+12;RUB;2162703487;3;;17.03.2025
SNDX;IMOEX;18.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3257,49;3263,17;3280,09;3227,47;96079300643;0;0;2;7,05E+12;RUB;2162703487;3;;18.03.2025
SNDX;IMOEX;19.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3229,79;3213,51;3236,47;3192,85;75790117136;0;0;2;6,99E+12;RUB;2162703487;3;;19.03.2025
SNDX;IMOEX;20.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3223,14;3238;3240,5;3180,46;1,17E+11;0;0;2;6,97E+12;RUB;2162703487;3;;20.03.2025
SNDX;IMOEX;21.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3191,61;3218,29;3237,19;3191,61;73605212103;0;0;2;7,10E+12;RUB;2225231673;3;;21.03.2025
SNDX;IMOEX;24.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3178,66;3201,66;3202,62;3171,13;58379660296;0;0;2;7,07E+12;RUB;2225231673;3;;24.03.2025
SNDX;IMOEX;25.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3164,62;3186,87;3194,43;3122,61;83460154709;0;0;2;7,04E+12;RUB;2225231673;3;;25.03.2025
SNDX;IMOEX;26.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3146,31;3195,03;3200,02;3143,65;47013734997;0;0;2;7,00E+12;RUB;2225231673;3;;26.03.2025
SNDX;IMOEX;27.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3083,99;3120,47;3124,32;3076,04;76693759580;0;0;2;6,86E+12;RUB;2225231673;3;;27.03.2025
SNDX;IMOEX;28.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3025,65;3055,81;3082,26;3001,62;1,07E+11;0;0;2;6,73E+12;RUB;2225231673;3;;28.03.2025
SNDX;IMOEX;31.03.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3013,36;3008,6;3031,6;2970,94;77261451789;0;0;2;6,71E+12;RUB;2225231673;3;;31.03.2025
SNDX;IMOEX;01.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2964,43;3032,41;3044,23;2952,04;87837840799;0;0;2;6,60E+12;RUB;2225231673;3;;01.04.2025
SNDX;IMOEX;02.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2926,39;2919,67;2958,4;2917,94;71073875809;0;0;2;6,51E+12;RUB;2225231673;3;;02.04.2025
SNDX;IMOEX;03.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2859,58;2957,64;2972,49;2853,76;91410802984;0;0;2;6,36E+12;RUB;2225231673;3;;03.04.2025
SNDX;IMOEX;04.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2781,97;2886,61;2902,62;2778,43;1,30E+11;0;0;2;6,19E+12;RUB;2225231673;3;;04.04.2025
SNDX;IMOEX;07.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2729,89;2648,09;2791,28;2646,7;1,66E+11;0;0;2;6,07E+12;RUB;2225231673;3;;07.04.2025
SNDX;IMOEX;08.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2746,41;2775,78;2780,46;2727,98;74147241560;0;0;2;6,11E+12;RUB;2225231673;3;;08.04.2025
SNDX;IMOEX;09.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2650,69;2689,77;2707,15;2598,85;1,24E+11;0;0;2;5,90E+12;RUB;2225231673;3;;09.04.2025
SNDX;IMOEX;10.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2764,28;2790,31;2801,19;2742,48;90685181558;0;0;2;6,15E+12;RUB;2225231673;3;;10.04.2025
SNDX;IMOEX;11.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2829,92;2825,03;2839,28;2800,69;77171023243;0;0;2;6,30E+12;RUB;2225231673;3;;11.04.2025
SNDX;IMOEX;14.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2819,69;2848,99;2856,63;2806,95;56665018668;0;0;2;6,27E+12;RUB;2225231673;3;;14.04.2025
SNDX;IMOEX;15.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2805,55;2824,64;2836;2788,26;52949212576;0;0;2;6,24E+12;RUB;2225231673;3;;15.04.2025
SNDX;IMOEX;16.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2861,83;2801,01;2870,39;2790,7;62512374743;0;0;2;6,37E+12;RUB;2225231673;3;;16.04.2025
SNDX;IMOEX;17.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2865,32;2863,2;2884,76;2844,33;63291965850;0;0;2;6,38E+12;RUB;2225231673;3;;17.04.2025
SNDX;IMOEX;18.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2872,77;2881,79;2892,01;2825,41;72357256442;0;0;2;6,39E+12;RUB;2225231673;3;;18.04.2025
SNDX;IMOEX;21.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2922,46;2881,23;2929,91;2880,01;67846215314;0;0;2;6,50E+12;RUB;2225231673;3;;21.04.2025
SNDX;IMOEX;22.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2954,49;2945,13;2954,49;2914,37;71092225647;0;0;2;6,57E+12;RUB;2225231673;3;;22.04.2025
SNDX;IMOEX;23.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2943,23;2929,78;2946,43;2900,32;74895269542;0;0;2;6,55E+12;RUB;2225231673;3;;23.04.2025
SNDX;IMOEX;24.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2944,43;2961,81;2973,99;2934,79;56240325646;0;0;2;6,55E+12;RUB;2225231673;3;;24.04.2025
SNDX;IMOEX;25.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3006,14;2962,11;3009,48;2956,8;1,01E+11;0;0;2;6,69E+12;RUB;2225231673;3;;25.04.2025
SNDX;IMOEX;28.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;3034,3;3009,92;3053,15;2979,14;1,42E+11;0;0;2;6,75E+12;RUB;2225231673;3;;28.04.2025
SNDX;IMOEX;29.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2957,66;2994,64;2998,68;2955,18;67941933900;0;0;2;6,58E+12;RUB;2225231673;3;;29.04.2025
SNDX;IMOEX;30.04.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2918,47;2923,86;2954,21;2887,83;83173583444;0;0;2;6,49E+12;RUB;2225231673;3;;30.04.2025
SNDX;IMOEX;02.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2836,7;2872,87;2877,83;2835,04;35546665389;0;0;2;6,31E+12;RUB;2225231673;3;;02.05.2025
SNDX;IMOEX;05.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2738,8;2810,36;2821,54;2731,74;69987769909;0;0;2;6,09E+12;RUB;2225231673;3;;05.05.2025
SNDX;IMOEX;06.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2820,07;2740,17;2826,61;2738,5;70341297566;0;0;2;6,28E+12;RUB;2225231673;3;;06.05.2025
SNDX;IMOEX;07.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2833,09;2807,12;2845,14;2790,14;58928692211;0;0;2;6,30E+12;RUB;2225231673;3;;07.05.2025
SNDX;IMOEX;08.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2850,93;2864,76;2873,66;2834,59;39773463975;0;0;2;6,34E+12;RUB;2225231673;3;;08.05.2025
SNDX;IMOEX;12.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2930,17;2936,83;2947,07;2904,77;59831950650;0;0;2;6,52E+12;RUB;2225231673;3;;12.05.2025
SNDX;IMOEX;13.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2935,53;2941,74;2941,93;2911,05;44273566803;0;0;2;6,53E+12;RUB;2225231673;3;;13.05.2025
SNDX;IMOEX;14.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2924,21;2917,17;2946,37;2909,54;40661268655;0;0;2;6,51E+12;RUB;2225231673;3;;14.05.2025
SNDX;IMOEX;15.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2840,05;2875,03;2877,46;2823,19;69588591441;0;0;2;6,32E+12;RUB;2225231673;3;;15.05.2025
SNDX;IMOEX;16.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2840,34;2848,05;2876,67;2781;93558691080;0;0;2;6,32E+12;RUB;2225231673;3;;16.05.2025
SNDX;IMOEX;19.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2882,63;2879,77;2893,56;2862,6;39326563681;0;0;2;6,41E+12;RUB;2225231673;3;;19.05.2025
SNDX;IMOEX;20.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2823,42;2859,26;2862;2823,42;39769524064;0;0;2;6,28E+12;RUB;2225231673;3;;20.05.2025
SNDX;IMOEX;21.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2809,58;2833,08;2844,04;2806,38;47379328608;0;0;2;6,25E+12;RUB;2225231673;3;;21.05.2025
SNDX;IMOEX;22.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2792,16;2784,81;2809,47;2756,04;79283281485;0;0;2;6,21E+12;RUB;2225231673;3;;22.05.2025
SNDX;IMOEX;23.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2770,1;2779,56;2790,29;2762,67;40903464636;0;0;2;6,16E+12;RUB;2225231673;3;;23.05.2025
SNDX;IMOEX;26.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2699,84;2735,78;2738,27;2699,84;48164875027;0;0;2;6,01E+12;RUB;2225231673;3;;26.05.2025
SNDX;IMOEX;27.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2736,75;2718,11;2740,05;2705,78;51811655333;0;0;2;6,09E+12;RUB;2225231673;3;;27.05.2025
SNDX;IMOEX;28.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2785,2;2754;2799,5;2747,96;71681222468;0;0;2;6,20E+12;RUB;2225231673;3;;28.05.2025
SNDX;IMOEX;29.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2809,94;2811,66;2839,97;2800,93;45009849637;0;0;2;6,25E+12;RUB;2225231673;3;;29.05.2025
SNDX;IMOEX;30.05.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2828,83;2814,06;2837,85;2793,15;55208172949;0;0;2;6,29E+12;RUB;2225231673;3;;30.05.2025
SNDX;IMOEX;02.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2829,67;2795,02;2830,55;2770,04;65727573140;0;0;2;6,30E+12;RUB;2225231673;3;;02.06.2025
SNDX;IMOEX;03.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2834,06;2817,23;2835,39;2807,63;60948043582;0;0;2;6,31E+12;RUB;2225231673;3;;03.06.2025
SNDX;IMOEX;04.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2836,64;2854,36;2871,78;2825,52;80568418215;0;0;2;6,31E+12;RUB;2225231673;3;;04.06.2025
SNDX;IMOEX;05.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2856,61;2853,2;2858,23;2837,61;40450527965;0;0;2;6,36E+12;RUB;2225231673;3;;05.06.2025
SNDX;IMOEX;06.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2786,16;2856,63;2910,52;2784;1,55E+11;0;0;2;6,20E+12;RUB;2225231673;3;;06.06.2025
SNDX;IMOEX;09.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2737,76;2767,94;2778,4;2733,75;51603508943;0;0;2;6,09E+12;RUB;2225231673;3;;09.06.2025
SNDX;IMOEX;10.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2722,37;2762,46;2767,14;2702,29;55508204390;0;0;2;6,06E+12;RUB;2225231673;3;;10.06.2025
SNDX;IMOEX;11.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2733,2;2719,6;2742,45;2718,98;41462363497;0;0;2;6,08E+12;RUB;2225231673;3;;11.06.2025
SNDX;IMOEX;13.06.2025;Èíäåêñ ÌîñÁèðæè;Èíäåêñ ÌîñÁèðæè;2750,32;2732,21;2762,76;2732,2;30849957540;0;0;2;6,12E+12;RUB;2225231673;3;;13.06.2025
